Job Title,Salary Range,Company Name,Location,Benefits
Account Officer,"RM 2,800 – RM 3,200 per month",Timur Lube Sdn. Bhd.,"Kuching, Sarawak",Annual incrementAnnual bonusEnjoy staff welfare benefit
Facility Engineer,"RM 2,000 – RM 2,500 per month",LOTTE EM MALAYSIA SDN BHD,"Kuching, Sarawak",Staff purchaseSOCSO
Account Executive,"RM 3,000 – RM 4,500 per month",LIANSIN TRADING SDN. BHD.,"Kuching, Sarawak",Career Progession5 days a weekHealth Benefits
"Representative, Sales","MYR 2,500 - 3,500",FFM Marketing Sdn Bhd(180433-A),"Kuching, Sarawak",Career GrowthIncentivesCommission
Sales Executive,"RM 2,500 – RM 3,000 per month",TOSHIBA ELEVATOR (MALAYSIA) SDN. BHD.,"Kuching, Sarawak",Career growthAttractive remunerationGood working environment
ACCOUNT EXECUTIVE,"RM 2,700 – RM 4,000 per month",ARC CREATORS SDN BHD,"Kuching, Sarawak",Attractive Remuneration PackageMedical benefits covering familySemi-flexi working hour
"SME Loan Specialist (Location: Kuching, Sarawak)","RM 7,000 – RM 8,500 per month",Alliance Bank Malaysia Berhad,"Kuching, Sarawak",Skillset Advancement.Building your Passionate through daily task.Delivering Happiness.
Maintenance Engineer (E&I),"MYR 3,000 - 4,000",Crown Automation Sdn. Bhd.,"Kuching, Sarawak",Flexible working hoursGreat staff benefitsBetter career progression
Recruitment Executive,"RM 1,500 – RM 2,000 per month",XD POWER TRANSMISSION (M) SDN. BHD.,"Kuching, Sarawak",
Safety Health Officer,"RM 5,000 – RM 7,000 per month",Heng Lian Enterprise Bhd,"Kuching, Sarawak",
HUMAN RESOURCE CUM ADMIN EXECUTIVE,"RM 1,800 – RM 2,500 per month",Kumon Centre,"Kuching, Sarawak",
"English and Maths Teacher (Full Time/Part Time) - Kumon Jalan Song, Kuching","RM 2,500 – RM 3,500 per month",Gaya Sports Sdn Bhd,"Kuching, Sarawak",
RETAIL COORDINATOR,"RM 1,800 – RM 2,700 per month",Anna Ganai,"Kuching, Sarawak",
Financial Advisor,"RM 3,000 – RM 4,000 per month",Top Green Construction Development Sdn Bhd,"Kuching, Sarawak",
Audit assistant,"RM 2,300 – RM 3,300 per month",Lim Aik Chai Electrical Sdn Bhd,"Kuching, Sarawak",
Sales Admin Executive,"RM 5,000 – RM 6,000 per month",MELILEA (M) SDN BHD,"Kuching, Sarawak",
Electrical Engineer,"RM 1,700 – RM 2,100 per month",LG Electronics (M) Sdn. Bhd.,"Kuching, Sarawak",
Admin cum Bookkeeping Clerk,"RM 1,500 – RM 2,200 per month",Isuzu Malaysia Sdn Bhd,"Kuching, Sarawak",
Sales Associates (Based in Kuching),"RM 1,800 – RM 2,500 per month",Permai Rainforest Resort,"Kuching, Sarawak",
Ecommerce Executive,"RM 2,000 – RM 3,000 per month",Lee Ming Press Sdn  Bhd,"Kuching, Sarawak",
Product Trainer (Contract),"RM 3,000 – RM 4,500 per month",HMBC Sdn Bhd,"Kuching, Sarawak",
Admin Executive,"RM 2,800 – RM 3,500 per month",X-FAB Sarawak Sdn Bhd,"Kuching, Sarawak",
Transport Manager,,PIRAMAS HOLDING SDN. BHD.,"Kuching, Sarawak",
Field Service Senior Executive (technical support based in Kuching),,,"Kuching, Sarawak",
Maintenance Technician,,,"Kuching, Sarawak",
ADMIN ASSISTANT,,,"Kuching, Sarawak",
Company secretary,,,"Kuching, Sarawak",
Automotive Mechanic,,,"Kuching, Sarawak",
Recruitment Manager,,,"Kuching, Sarawak",
"Senior Engineer, External Supplied Fab",,,"Kuching, Sarawak",
Teller (URGENT),,,"Kuching, Sarawak",
Junior Lawyer,,,"Kuching, Sarawak",
